project_id,project_name,organization,segment,category,region,platform,permission_model,consensus_family,architecture_type,governance_type,consortium_size,has_native_token,launch_year,end_year,failure_year,investment_usd,value_at_risk_usd,status_original,status_clean,outcome,resolution,na,nc,ns,se,sm,sf,ls,lr,lp,network_domain,system_domain,law_domain,overall_score,failure_category,failure_reasons,scoring_method,evidence_summary,primary_data_sources
E001,ANZ Stablecoin A$DC,ANZ Bank,enterprise,Digital AUD stablecoin,,Ethereum,permissioned,PoS (Ethereum),public chain (token on Ethereum),,1,yes (stablecoin),,,,Undisclosed,<100M,Launched,Launched,not_failed,resolved,1,3,2,1,3,1,1,1,1,2.0,1.67,1.0,1.56,,,systematic-with-review,AUD-denominated stablecoin on Ethereum. Single-entity ANZ control over issuance and redemption (sm=3). Standard ERC-20 architecture (na=1). Regulated under APRA/ASIC framework with developing guidance (ls/lr/lp=1). Low overall risk due to institutional backing and regulatory engagement.,ANZ press releases; APRA/ASIC regulatory publications; CoinDesk reporting
E002,ASX CHESS,ASX,enterprise,Securities Settlement,Asia-Pacific,,permissioned,custom (DAML/VMware),private chain,Centralized,1,no,2016,2022,2022,250000000,250M (direct investment),Failed,Failed,failed,resolved,4,4,4,3,4,4,3,4,4,4.0,3.67,3.67,3.78,Technical Failure,Technical complexity; Performance,systematic-with-review,"Securities settlement replacement project. $250M invested over 7 years. Single-entity ASX monopoly control (sm=4). Architecture failed to handle settlement volumes — sequential design created hard capacity limits (na=4, ns=4). ASIC enforcement action followed (lr=4). Textbook Architecture Death Spiral.",ASX annual reports; ASIC enforcement actions; Accenture/Digital Asset post-mortem; Senate inquiry testimony
D008,Aave V3,Aave Companies,defi,Lending Protocol,Global,Multi-chain,permissionless,PoS (multi-chain),"public chain (smart contracts, multi-chain deployment)",Token governance + safety module,N/A,yes (AAVE governance + safety module),2022,,,,10B+ (TVL),Operational,Operational,not_failed,resolved,2,1,2,2,2,0,1,1,1,1.67,1.33,1.0,1.33,,,expert-scored,Overcollateralised lending. Governance bounded by safety module (sm=2). Protocol profitable with insurance fund (sf=0). $40B+ cumulative volume. UK FCA engagement via Aave Arc (ls/lr/lp=1).,"On-chain data; Aave governance forum; DeFi Llama; Aave Arc/FCA documentation; audit reports (Trail of Bits, OpenZeppelin)"
E003,Australian National Blockchain,Australian Gov,enterprise,Digital Identity,Asia-Pacific,,permissioned,BFT,private chain,Centralized,1,no,2020,2023,2023,5000000,5M,Failed,Failed,failed,resolved,3,3,3,3,4,4,3,3,3,3.0,3.67,3.0,3.22,Adoption Failure,No adoption; Privacy concerns,systematic-with-review,Government-mandated digital identity project. Architecture was standard enterprise DLT (na=3). Fully centralised government control (sm=4). Zero adoption destroyed economic viability (sf=4). Privacy backlash created legal risk (ls/lp=3).,Australian government digital identity publications; Department of Industry reports
D011,Axie Infinity/Ronin,Sky Mavis,defi,Gaming/Bridge,Global,Ronin sidechain,permissioned (Ronin sidechain),PoA (Ronin validators),"sidechain (Ronin, Ethereum-linked)",Sky Mavis controlled,1,yes (AXS + SLP + RON),2021,,,,625M (bridge hack),Survived,Survived,not_failed,resolved,3,3,1,2,3,3,2,1,1,2.33,2.67,1.33,2.11,,,expert-scored,Play-to-earn with Ronin bridge. $625M hack from 5-of-9 validator compromise (nc=3). Sky Mavis controlled majority validators (sm=3). Users reimbursed via Binance. Game economics declined 90%+ (sf=3).,Ronin bridge hack post-mortem; FBI attribution (Lazarus Group); Sky Mavis disclosures; Chainalysis reports
E004,B3i,Insurance Consortium,enterprise,Insurance,Global,,permissioned,BFT (Corda),private chain (R3 Corda),Consortium,20+,no,2016,2022,2022,22000000,22M,Failed,Failed,failed,resolved,3,4,3,4,4,4,3,3,3,3.33,4.0,3.0,3.44,Consortium Failure,Complex governance; No product-market fit,systematic-with-review,Insurance industry consortium of 18+ insurers. Complex consortium governance with competing member interests (sm=4). Failed to deliver product-market fit — insurance products too complex for standardised smart contracts (sf=4). $22M invested before dissolution.,B3i press releases; Insurance Journal; Swiss commercial registry (liquidation filing)
E069,BNY Mellon Tokenized Deposits,BNY Mellon,enterprise,Digital Assets/Deposits,North America,Private Permissioned + Ethereum,hybrid,PoS (Ethereum) + permissioned,hybrid (private permissioned + Ethereum),Single Entity,1,yes (deposit token),,,,,undisclosed,Launched,Launched,not_failed,resolved,2,3,2,3,4,2,1,1,1,2.33,3.0,1.0,2.11,,,expert-reviewed,Tokenized deposit platform. Single-entity BNY Mellon control (sm=4). Private permissioned + Ethereum hybrid architecture. Banking regulation provides clear framework (ls/lr/lp=1).,BNY Mellon digital assets announcements; OCC/Fed regulatory filings
E071,BOJ Digital Yen Sandbox,Bank of Japan,enterprise,CBDC,Asia-Pacific,Purpose-built sandbox (unspecified),permissioned,undisclosed (sandbox),private chain (purpose-built sandbox),Central Bank,1,"yes (CBDC, sandbox)",,,,,undisclosed (sandbox),Pilot,Pilot,not_failed,unresolved,3,3,3,2,4,3,2,2,2,3.0,3.0,2.0,2.67,,,expert-reviewed,Bank of Japan CBDC pilot sandbox. Central bank control (sm=4). Purpose-built sandbox architecture. Japanese regulatory framework clear. Pilot assessment only.,Bank of Japan CBDC reports; Japanese Financial Services Agency documentation
E005,Bahamas Sand Dollar,Central Bank Bahamas,enterprise,Retail CBDC,Caribbean,,permissioned,custom,private chain (NZIA/central bank),Centralized,1,yes (CBDC),2020,Active,,Undisclosed,<50M (circulation),Production,Production,not_failed,resolved,2,3,2,2,4,2,1,2,1,2.33,2.67,1.33,2.11,,Limited adoption,systematic-with-review,Retail CBDC in production since 2020. Centralised central bank control (sm=4). Functional but extremely low adoption — most transactions still cash-based (sf=2). Architecture functional for small population (na/ns=2). Central bank legal authority clear (ls/lr/lp=1-2).,Central Bank of The Bahamas reports; IMF Article IV consultations; Atlantic Council CBDC tracker
E006,Banco Santander One Pay FX,Santander/Ripple,enterprise,,,RippleNet,permissioned,XRP Ledger consensus,private chain (RippleNet),,1,no (used XRP rails),2018,2020,2020,"20,000,000",20M,Discontinued,Failed,failed,resolved,2,3,2,3,3,3,3,3,3,2.33,3.0,3.0,2.78,Cross-border Payments,Regulatory concerns; technical limitations; limited corridor adoption,systematic-with-review,Cross-border payment service using RippleNet. Discontinued due to regulatory concerns and limited corridor adoption (sf=3). Santander controlled the integration (sm=3). Regulatory uncertainty around Ripple/XRP created legal risk (ls/lr/lp=3).,Santander annual reports; Ripple partnership announcements; FT reporting
